Date,Open,High,Low,Close,Adj Close,Volume
2013-09-23,79.320000,79.410004,78.459999,78.830002,72.231834,30319400
2013-09-24,79.000000,79.250000,78.570000,78.830002,72.231834,21871300
2013-09-25,78.889999,79.000000,78.400002,78.559998,71.984444,22746400
2013-09-26,78.879997,79.360001,78.849998,79.169998,72.543350,22421700
2013-09-27,78.709999,79.209999,78.589996,79.070000,72.451714,25151600
2013-09-30,78.250000,79.089996,78.000000,78.879997,72.277626,28031900
2013-10-01,78.889999,79.720001,78.849998,79.680000,73.010658,33129700
2013-10-02,79.139999,79.760002,79.059998,79.650002,72.983200,25503800
2013-10-03,79.550003,79.720001,78.300003,78.720001,72.131042,42998200
2013-10-04,78.720001,79.510002,78.650002,79.400002,72.754105,22852700
2013-10-07,78.699997,79.349998,78.669998,78.739998,72.149361,20227100
2013-10-08,78.739998,78.809998,77.190002,77.220001,70.756569,43660700
2013-10-09,77.400002,77.440002,76.349998,76.980003,70.536659,64526700
2013-10-10,77.809998,78.790001,77.790001,78.610001,72.030220,48062700
2013-10-11,78.410004,79.290001,78.400002,79.230003,72.598335,25214100
2013-10-14,78.739998,79.790001,78.680000,79.790001,73.111458,31471900
2013-10-15,79.730003,80.110001,79.379997,79.480003,72.827415,38684000
2013-10-16,79.849998,80.419998,79.790001,80.379997,73.652084,46735900
2013-10-17,80.019997,80.870003,79.949997,80.839996,74.073570,32193500
2013-10-18,81.580002,82.180000,81.349998,82.150002,75.273926,39628200
2013-10-21,82.339996,82.540001,82.070000,82.330002,75.438850,31176900
2013-10-22,82.650002,82.900002,81.930000,82.449997,75.548805,43944800
2013-10-23,82.050003,82.199997,81.550003,81.949997,75.090675,38021300
2013-10-24,82.000000,82.480003,81.879997,82.309998,75.420540,23155100
2013-10-25,83.080002,83.279999,82.500000,82.900002,75.961143,35824500
2013-10-28,82.910004,83.050003,82.550003,82.919998,75.979469,28618400
2013-10-29,83.199997,83.260002,82.699997,83.059998,76.107765,36878100
2013-10-30,83.349998,83.489998,82.580002,82.980003,76.034477,33535500
2013-10-31,82.769997,83.300003,82.480003,82.790001,75.860336,31309900
2013-11-01,83.070000,83.169998,82.400002,82.809998,75.878677,30867800
2013-11-04,83.059998,83.070000,82.639999,82.930000,75.988655,16834000
2013-11-05,82.610001,83.220001,82.370003,83.019997,76.071098,27975600
2013-11-06,83.370003,83.400002,82.730003,83.000000,76.052765,25576800
2013-11-07,83.010002,83.129997,81.370003,81.440002,74.623360,52173200
2013-11-08,81.739998,82.559998,81.510002,82.540001,75.631271,31470500
2013-11-11,82.419998,82.639999,82.139999,82.410004,75.512161,24822900
2013-11-12,82.160004,82.660004,82.120003,82.540001,75.631271,20108500
2013-11-13,82.000000,83.550003,82.000000,83.540001,76.547577,31345900
2013-11-14,83.320000,83.860001,83.139999,83.800003,76.785820,31101200
2013-11-15,83.820000,83.959999,83.610001,83.959999,76.932434,20511300
2013-11-18,83.940002,84.110001,82.980003,83.139999,76.181068,31679600
2013-11-19,83.089996,83.489998,82.760002,82.900002,75.961143,25545300
2013-11-20,83.120003,83.430000,82.459999,82.699997,75.777893,32177400
2013-11-21,83.050003,83.610001,82.980003,83.540001,76.547577,28125000
2013-11-22,83.680000,84.019997,83.620003,83.989998,76.959908,25361300
2013-11-25,84.290001,84.379997,83.980003,84.190002,77.143181,21695100
2013-11-26,84.209999,84.839996,84.029999,84.629997,77.546349,26621000
2013-11-27,84.800003,85.239998,84.730003,85.220001,78.086952,21638100
