Date,Open,High,Low,Close,Adj Close,Volume,DAY
2013-09-23,79.32,79.410004,78.459999,78.830002,72.231834,30319400,0
2013-09-24,79,79.25,78.57,78.830002,72.231834,21871300,1
2013-09-25,78.889999,79,78.400002,78.559998,71.984444,22746400,2
2013-09-26,78.879997,79.360001,78.849998,79.169998,72.54335,22421700,3
2013-09-27,78.709999,79.209999,78.589996,79.07,72.451714,25151600,4
2013-09-30,78.25,79.089996,78,78.879997,72.277626,28031900,5
2013-10-01,78.889999,79.720001,78.849998,79.68,73.010658,33129700,6
2013-10-02,79.139999,79.760002,79.059998,79.650002,72.9832,25503800,7
2013-10-03,79.550003,79.720001,78.300003,78.720001,72.131042,42998200,8
2013-10-04,78.720001,79.510002,78.650002,79.400002,72.754105,22852700,9
2013-10-07,78.699997,79.349998,78.669998,78.739998,72.149361,20227100,10
2013-10-08,78.739998,78.809998,77.190002,77.220001,70.756569,43660700,11
2013-10-09,77.400002,77.440002,76.349998,76.980003,70.536659,64526700,12
2013-10-10,77.809998,78.790001,77.790001,78.610001,72.03022,48062700,13
2013-10-11,78.410004,79.290001,78.400002,79.230003,72.598335,25214100,14
2013-10-14,78.739998,79.790001,78.68,79.790001,73.111458,31471900,15
2013-10-15,79.730003,80.110001,79.379997,79.480003,72.827415,38684000,16
2013-10-16,79.849998,80.419998,79.790001,80.379997,73.652084,46735900,17
2013-10-17,80.019997,80.870003,79.949997,80.839996,74.07357,32193500,18
2013-10-18,81.580002,82.18,81.349998,82.150002,75.273926,39628200,19
2013-10-21,82.339996,82.540001,82.07,82.330002,75.43885,31176900,20
2013-10-22,82.650002,82.900002,81.93,82.449997,75.548805,43944800,21
2013-10-23,82.050003,82.199997,81.550003,81.949997,75.090675,38021300,22
2013-10-24,82,82.480003,81.879997,82.309998,75.42054,23155100,23
2013-10-25,83.080002,83.279999,82.5,82.900002,75.961143,35824500,24
2013-10-28,82.910004,83.050003,82.550003,82.919998,75.979469,28618400,25
2013-10-29,83.199997,83.260002,82.699997,83.059998,76.107765,36878100,26
2013-10-30,83.349998,83.489998,82.580002,82.980003,76.034477,33535500,27
2013-10-31,82.769997,83.300003,82.480003,82.790001,75.860336,31309900,28
2013-11-01,83.07,83.169998,82.400002,82.809998,75.878677,30867800,29
2013-11-04,83.059998,83.07,82.639999,82.93,75.988655,16834000,30
2013-11-05,82.610001,83.220001,82.370003,83.019997,76.071098,27975600,31
